Statistik_Code;Statistik_Label;Zeit_Code;Zeit_Label;Zeit;1_Merkmal_Code;1_Merkmal_Label;1_Auspraegung_Code;1_Auspraegung_Label;2_Merkmal_Code;2_Merkmal_Label;2_Auspraegung_Code;2_Auspraegung_Label;3_Merkmal_Code;3_Merkmal_Label;3_Auspraegung_Code;3_Auspraegung_Label;4_Merkmal_Code;4_Merkmal_Label;4_Auspraegung_Code;4_Auspraegung_Label;HES002__Schadholzeinschlag__1000_cbm
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;ESLUR1;Einschlagsursache;SCHNEE-DUFT;Schnee/Duft;HAGR01;Holzartengruppen;HLZ-EICH-REIC;Eiche und Roteiche;WLDEG2;Waldeigentumsarten;;Insgesamt;6,0
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;ESLUR1;Einschlagsursache;SCHNEE-DUFT;Schnee/Duft;HAGR01;Holzartengruppen;HLZ-BUCH-LAUB;Buche und sonstiges Laubholz;WLDEG2;Waldeigentumsarten;WLD-STAAT;Staatswald (Bundes- und Landeswald);5,6
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;ESLUR1;Einschlagsursache;SCHNEE-DUFT;Schnee/Duft;HAGR01;Holzartengruppen;HLZ-BUCH-LAUB;Buche und sonstiges Laubholz;WLDEG2;Waldeigentumsarten;WLD-KRP;Körperschaftswald;4,7
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;ESLUR1;Einschlagsursache;SCHNEE-DUFT;Schnee/Duft;HAGR01;Holzartengruppen;HLZ-BUCH-LAUB;Buche und sonstiges Laubholz;WLDEG2;Waldeigentumsarten;WLD-PRIVAT;Privatwald;7,6
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;ESLUR1;Einschlagsursache;SCHNEE-DUFT;Schnee/Duft;HAGR01;Holzartengruppen;HLZ-BUCH-LAUB;Buche und sonstiges Laubholz;WLDEG2;Waldeigentumsarten;;Insgesamt;17,8
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;ESLUR1;Einschlagsursache;SCHNEE-DUFT;Schnee/Duft;HAGR01;Holzartengruppen;HLZ-KIEF-LAER;Kiefer und Lärche;WLDEG2;Waldeigentumsarten;WLD-STAAT;Staatswald (Bundes- und Landeswald);22,3
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;ESLUR1;Einschlagsursache;SCHNEE-DUFT;Schnee/Duft;HAGR01;Holzartengruppen;HLZ-KIEF-LAER;Kiefer und Lärche;WLDEG2;Waldeigentumsarten;WLD-KRP;Körperschaftswald;12,6
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;ESLUR1;Einschlagsursache;SCHNEE-DUFT;Schnee/Duft;HAGR01;Holzartengruppen;HLZ-KIEF-LAER;Kiefer und Lärche;WLDEG2;Waldeigentumsarten;WLD-PRIVAT;Privatwald;120,3
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;ESLUR1;Einschlagsursache;SCHNEE-DUFT;Schnee/Duft;HAGR01;Holzartengruppen;HLZ-KIEF-LAER;Kiefer und Lärche;WLDEG2;Waldeigentumsarten;;Insgesamt;155,2
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2006;DINSG;Deutschland insgesamt;DG;Deutschland;ESLUR1;Einschlagsursache;SCHNEE-DUFT;Schnee/Duft;HAGR01;Holzartengruppen;HLZ-FICH-UA;Fichte, Tanne, Douglasie und sonstiges Nadelholz;WLDEG2;Waldeigentumsarten;WLD-STAAT;Staatswald (Bundes- und Landeswald);356,0
